points,A_glotis,A_epiglotis,r_curvature,d_trachea,l_trachea,teta_branch_trachea,l_l,l_r,teta_branch_l,teta_branch_r,l_ll,l_lr,l_rl,l_rr,teta_branch_ll,teta_branch_lr,teta_branch_rl,teta_branch_rr,l_lll,l_llr,l_lrl,l_lrr,l_rll,l_rlr,l_rrl,l_rrr
snapshot76.bin,86.36222379,179.2041628,52.09488349,17.55783541,105.1599775,97.0659232,54.64806323,26.4777695,85.91118765,84.51109393,22.4354307,23.82986195,34.73571152,17.7261826,87.48634979,84.39870558,85.44509441,104.8920826,11.64336314,8.978389067,7.968295768,7.096719518,18.92786533,9.627759494,7.596495899,7.551581604
snapshot77.bin,182.1586454,215.5358596,53.94824528,20.95936368,105.4738836,95.53408195,54.6954155,24.9412477,77.05078493,84.42711968,23.24666699,19.93329854,38.75329081,15.4002804,104.8524221,86.17635003,82.9442594,94.83905365,8.608395887,7.815819288,7.035592461,9.998180843,18.48037663,11.33782491,8.99219247,8.566676631
snapshot78.bin,111.890581,255.1260492,49.81131448,20.64719123,116.4276782,88.74898426,52.8751435,26.58449865,75.99377385,75.49656858,23.0517856,19.02515216,32.14167756,18.05256308,99.62580047,81.56395096,89.4394042,91.26123945,7.887486804,9.565427078,10.47986722,8.400241342,18.3888537,8.825331006,7.501720055,9.288507312
snapshot79.bin,149.102655,237.7728102,52.16443399,19.89663838,128.597759,83.46884726,52.45673339,27.57137181,85.10477903,90.32301294,24.49341245,20.64944296,34.69597513,15.83901348,91.26813132,98.93943991,89.56109708,97.54034075,11.60555205,6.506295144,7.016952919,9.820961259,17.84117707,12.69844919,8.837768031,7.635324997
snapshot80.bin,144.9019648,244.3032554,47.69250592,20.42174774,109.2133621,86.19120826,56.88978565,26.80525321,87.95756624,81.68830035,20.34678263,21.78279679,31.65313087,18.25694011,97.37145255,103.5787552,87.9389137,92.34520642,12.40009069,9.957569344,9.167087509,8.995507536,17.48907367,10.75210484,7.868930306,8.718509461
snapshot81.bin,91.9462422,234.7037333,51.3877785,19.1999427,117.4520743,90.83462049,56.91415387,26.86189286,88.05606919,82.14647217,23.639724,19.56656678,38.28983889,18.47716697,85.24643531,89.96022927,78.06869351,86.8558528,10.75219893,6.489119006,10.94236816,9.812197933,18.80384937,12.29525669,9.0686188,8.554049346
snapshot82.bin,209.2062327,178.9405029,51.640666,17.7462972,113.2821787,90.86566974,53.87688396,24.80383678,82.05110919,79.21868911,23.47666514,22.9688127,34.02842447,18.44747364,103.6983632,93.05932216,84.96278272,94.39092103,12.0852973,6.794789216,10.85817523,7.945368084,18.30249905,9.089311329,7.82643369,9.813402879
snapshot83.bin,215.1048919,330.2359351,46.31406061,19.99559975,116.378309,91.40858808,56.41452715,27.6194762,76.23133071,80.86000886,22.39516619,23.37308107,31.09697354,16.86237351,101.1670959,94.57299604,75.29152622,86.9394215,10.12528885,9.603675593,9.037855799,7.739456223,18.23933219,12.32058678,7.684879427,8.392830054
snapshot84.bin,199.7334102,328.5862799,53.92734407,17.52744952,121.6478971,98.94318324,54.64257235,25.913899,83.6769673,90.25286202,20.38529713,19.44739116,35.15301819,15.08834002,102.9745336,91.1161142,82.5461765,102.3977265,9.481822351,9.508369144,7.46287491,9.55288122,17.61177262,10.15410286,9.003461968,9.295355814
snapshot85.bin,90.94758609,145.6454311,48.24804801,16.80151422,111.3791101,80.00550158,51.79158963,26.55912121,76.82332741,86.97313478,22.35260229,21.95307331,33.28283188,19.56302028,102.6424786,87.55581935,86.35657994,104.8644827,11.1450203,7.66837631,7.155425596,10.39756697,18.70120575,10.57270042,9.984564305,9.173164976
snapshot86.bin,168.9092188,97.83566154,49.26781447,19.75930025,124.4620719,80.71672151,55.78150967,25.66080476,71.47907707,75.16399722,21.82325926,24.85170204,37.63178035,17.13255951,88.64662195,89.99465786,88.58541446,95.05591,9.188304815,8.605427364,9.763944201,9.532734102,17.49361442,8.700477359,9.271492773,7.848369333
snapshot87.bin,104.4357549,328.8642558,48.9590919,19.74664382,108.5481003,94.37476775,51.99103098,27.63885404,78.79079074,81.29689702,22.2190998,22.98488345,34.31457178,19.10231383,100.8792864,96.76885081,87.21488761,97.40125711,9.237511277,9.937194327,7.528568798,10.56665161,18.45660155,8.747456482,8.42891796,9.886413378
snapshot88.bin,221.0773726,173.1255489,52.04186266,16.71886416,112.0803004,86.92772412,54.10742378,25.84742673,82.49497978,82.40901787,22.74873226,24.31081641,32.23256868,16.30537528,85.17842537,104.0154622,86.40157128,98.59215784,9.05401187,6.742909654,7.102659704,9.253413106,17.84365071,11.5548643,8.041860449,9.954287305
snapshot89.bin,203.0370077,220.9399188,46.96874854,19.94421936,119.0255779,91.35404164,55.98543495,27.71083846,78.24240793,89.2194356,21.58562512,20.91125376,33.65804443,18.73236431,89.04774322,82.46011473,75.65808607,90.32637432,11.78492994,9.71741869,8.29594199,10.9428665,17.57795648,9.678738313,7.905874065,9.16574019
snapshot90.bin,214.6279122,259.4870611,49.66567378,18.99249095,105.0483809,84.31834809,53.60442776,24.96985821,81.64592025,81.34045933,20.83802311,23.76970777,33.05484176,15.04172677,98.44832035,94.7238069,80.61661168,84.29424901,11.24588593,8.507002414,9.954132569,8.880290744,16.67942421,11.98944911,9.694140216,7.151088624
snapshot91.bin,169.7355811,123.6548081,51.59688516,18.48432617,119.7212479,98.931,56.35750498,27.20670627,70.68815641,77.64275657,24.93885734,21.54182294,34.39778187,16.22856831,90.90099629,86.62189139,80.67285862,88.73135356,11.77966536,8.222129697,10.19351068,10.04530905,17.45401913,10.98310771,9.454557437,8.465888709
snapshot92.bin,178.2952835,90.60620669,53.91359397,19.42070259,124.5350017,92.59742641,54.57115787,26.05379135,84.76472349,78.95318177,24.64532185,23.63532133,36.99931056,19.02782,99.65397174,80.97029764,88.31516265,89.00056159,11.08034727,6.26664444,9.562242476,8.654074762,18.36362893,11.66491729,7.976848967,9.609896543
snapshot93.bin,153.1009396,201.2897673,52.56904693,19.5898289,124.9398312,96.18173871,54.55301818,27.70504677,88.44218616,91.23984566,20.24782122,21.17866315,33.16222229,18.1282403,95.2109851,83.88452053,80.59704527,89.62544529,9.364873843,6.141718055,9.956013147,7.598635177,16.54902969,12.02966042,9.327955359,8.732382516
snapshot94.bin,179.0160553,169.7999398,46.47422969,20.533484,115.7505141,84.79276845,56.64772755,27.58728203,81.44992538,75.59735997,23.1660201,21.98312815,31.45488583,18.71978979,82.05626986,82.5271692,86.52202426,83.21616491,11.7116261,8.098042812,10.50000423,8.846986457,17.33302754,10.48534421,7.989795858,8.592157613
snapshot95.bin,162.7920089,170.8582216,47.59878411,20.53827899,125.2459792,83.10855873,53.53593654,27.4289658,88.55012847,83.54352203,24.58824079,21.67357026,31.51470013,15.48653153,99.45180636,89.42323613,78.26124125,92.61165023,8.380947134,7.089663646,7.953476775,9.546807789,17.38755302,9.135306981,9.213643859,9.634984968
snapshot96.bin,228.5915656,87.1661447,47.39508097,18.02679558,115.912962,83.79645223,56.59308158,24.90701367,82.98795195,79.6862948,22.58992647,20.49927659,32.55872838,19.40428732,97.03806181,88.9776082,86.17278262,94.25267601,8.282458861,6.663675171,7.266739869,8.259553009,17.29150992,9.902935175,9.257985791,8.144331052
snapshot97.bin,182.4646788,162.8513998,47.42047409,17.4066284,123.5673969,89.41942353,54.20468684,26.87885952,81.02401144,75.25931955,21.57134467,23.56195513,31.12609304,19.87694212,98.71187156,101.8617076,82.30650103,96.88817633,7.072517354,7.630296575,8.793030851,8.142640124,16.95841421,9.971954252,8.603230096,9.169906911
snapshot98.bin,137.9726823,295.8122515,53.41453473,17.18430285,111.7648104,83.38365929,55.91222007,25.83137127,89.27145069,83.38349651,21.27539598,22.28610621,34.74636768,19.17766744,89.93086105,92.665469,83.11939552,86.64578075,8.841182067,7.509463899,7.382279772,9.190342181,18.39595847,12.92640093,7.175881428,7.807476936
snapshot99.bin,193.0537434,176.7646602,51.23776709,18.5363974,126.294954,84.47091708,54.46159107,27.7975824,84.58329521,90.65839633,23.23541574,20.52741956,36.86004429,16.71857464,83.9016158,84.04407925,80.11104622,95.17187828,10.25610858,6.88781609,10.64882839,7.048485448,17.44984489,11.67241692,8.219634037,9.672012956
snapshot100.bin,155.2292611,168.3269206,53.85815202,18.94602879,123.1603281,89.26897359,51.80510411,25.05733425,72.26356433,94.26894399,22.73975202,21.64982289,36.45379426,15.50895945,93.10963387,96.06925363,76.66838388,83.74234544,8.227276353,6.19695278,10.09053305,7.034202291,16.87002696,9.647136739,7.046773917,8.320252498
